"No_roots","mean_all","mean_gt1","mean_gt2","mean_gt25","mean_gt3","mean_gt35","mean_gt4","mean_lt05","mean_lt1","mean_lt15","mean_lt2","maxValue","minValue","cultivar","sheetNames","phenotype","Lines"
19,3.17745263157895,4.32220769230769,6.15785,6.15785,6.15785,6.58835714285714,7.07255,0.66782,0.69715,0.94066,1.00989090909091,9.3019,0.334,"L33","3_Aug 3233_4","B","BL3330"
19,3.31891052631579,4.30752857142857,5.33876,5.33876,5.63668888888889,5.9358125,5.9358125,0.4883,0.55078,0.688333333333333,1.07463333333333,8.3533,0.2512,"L33","3_Aug 3233_4","TB","TBL3331"
19,4.09164736842105,4.28595555555556,5.37658461538462,5.9506,6.29515,6.29515,6.29515,0.5941,0.5941,1.015475,1.30761666666667,8.1814,0.5941,"L33","3_Aug 3233_4","B","BL3332"
17,3.50103529411765,4.14017857142857,4.632425,5.4254,6.20475714285714,6.65955,6.65955,0.518366666666667,0.518366666666667,0.7857,0.7857,7.5943,0.4131,"L33","3_Aug 3233_4","TB","TBL3333"
15,2.63222666666667,3.42967272727273,3.86022222222222,4.32048571428571,4.57181666666667,4.82886,5.121275,0.43925,0.43925,0.61902,0.790233333333333,6.1572,0.2109,"L33","3_Aug 3233_4","B","BL3334"
15,3.10052,4.80437777777778,6.39095,6.39095,7.06922,7.06922,7.06922,0.48032,0.544733333333333,0.6747,0.9069,9.2531,0.1772,"L33","3_Aug 3233_4","TB","TBL3335"
16,2.88100625,3.46017692307692,4.28573333333333,4.28573333333333,4.4537,4.88145,5.15114,0.1282,0.371266666666667,0.8003,1.07492857142857,5.606,0.1008,"L34","3_Aug 3233_4","B","BL3436"
15,2.70612,3.28475833333333,3.80025555555556,4.19465714285714,4.19465714285714,4.33826666666667,4.591725,0.15325,0.391566666666667,0.391566666666667,1.06491666666667,4.8031,0.0876,"L34","3_Aug 3233_4","T","TL3437"
28,2.51235357142857,3.4306,4.69221666666667,4.91097272727273,5.40223333333333,6.00058571428571,6.39406666666667,0.468742857142857,0.573833333333333,0.87745625,0.87745625,8.2587,0.1108,"L34","3_Aug 3233_4","T","TL3438"
16,4.23049375,5.08933846153846,5.3753,5.99306,5.99306,5.99306,5.99306,0.3076,0.508833333333333,0.508833333333333,0.796075,7.7673,0.1387,"L34","3_Aug 3233_4","B","BL3439"
14,3.13870714285714,3.91438181818182,4.5015,4.771925,5.04132857142857,5.04132857142857,5.28941666666667,0.294566666666667,0.294566666666667,0.68568,0.68568,7.2151,0.0717,"L34","3_Aug 3233_4","B","BL3440"
12,2.883625,3.74541111111111,4.0445875,4.32362857142857,4.99164,6.12573333333333,6.12573333333333,0.298266666666667,0.298266666666667,0.5617,0.5617,9.7547,0.1129,"L34","3_Aug 3233_4","B","BL3441"
19,2.82047894736842,3.93745384615385,4.13093333333333,4.30933636363636,4.48073,5.03855714285714,5.6152,0.28746,0.400366666666667,0.400366666666667,0.573985714285714,6.209,0.0944,"L33","4_Feb 3233_4","B","BL3342"
